"","year","TL","sd","spp"
"266",1908,4.02522694449953,0.0584161383683979,"BRBO"
"267",1909,4.02234408191677,0.0594268908716789,"BRBO"
"268",1910,4.02060548554009,0.0594328603084495,"BRBO"
"269",1911,4.01736568643477,0.0606616794066408,"BRBO"
"270",1912,4.01394927406856,0.0622494532874205,"BRBO"
"271",1913,4.01072036266049,0.063313037779233,"BRBO"
"272",1914,4.00829287497134,0.0632277015952161,"BRBO"
"273",1915,4.0061265623245,0.0633197049578129,"BRBO"
"274",1916,4.0035785814011,0.0640381186060441,"BRBO"
"275",1917,4.00158852281638,0.0639192246209355,"BRBO"
"276",1918,3.99821987274605,0.0655303770873532,"BRBO"
"277",1919,3.99541649650753,0.0669571394631108,"BRBO"
"278",1920,3.99262479266313,0.0681260511002852,"BRBO"
"279",1921,3.98995530362094,0.0698327002526939,"BRBO"
"280",1922,3.9881606352802,0.070573415983965,"BRBO"
"281",1923,3.9862573582559,0.0706328739829862,"BRBO"
"282",1924,3.98400840816037,0.071539153435769,"BRBO"
"283",1925,3.9818139623587,0.071356178674105,"BRBO"
"284",1926,3.9796204648969,0.0709333996926595,"BRBO"
"285",1927,3.97709608999694,0.0714144837159632,"BRBO"
"286",1928,3.97493798871195,0.0713652739803283,"BRBO"
"287",1929,3.97223448086233,0.0717507866384981,"BRBO"
"288",1930,3.96987837875482,0.0719450160783381,"BRBO"
"289",1931,3.9662041486636,0.0731773593371559,"BRBO"
"290",1932,3.96352925340622,0.0736598189515156,"BRBO"
"291",1933,3.96060433008613,0.0741413102134088,"BRBO"
"292",1934,3.95794390103742,0.0745396429999117,"BRBO"
"293",1935,3.95466788374351,0.0764890384137891,"BRBO"
"294",1936,3.95199447753286,0.0769158785715787,"BRBO"
"295",1937,3.94912098103172,0.0769496913854026,"BRBO"
"296",1938,3.94651722218226,0.0763917292449481,"BRBO"
"297",1939,3.94348518877525,0.0749023095968386,"BRBO"
"298",1940,3.94094296992883,0.0746756466326639,"BRBO"
"299",1941,3.9374339733605,0.0741562606825417,"BRBO"
"300",1942,3.93435390759258,0.0752269243471098,"BRBO"
"301",1943,3.93094883192462,0.0752938707102819,"BRBO"
"302",1944,3.92746186504345,0.0749000177457146,"BRBO"
"303",1945,3.92462359613385,0.0742112261175429,"BRBO"
"304",1946,3.92187545499212,0.0733337804604113,"BRBO"
"305",1947,3.91948491376026,0.0727662136475682,"BRBO"
"306",1948,3.91590460119317,0.0732667687615054,"BRBO"
"307",1949,3.91349136739009,0.072500109541799,"BRBO"
"308",1950,3.91085133644081,0.0719507058726738,"BRBO"
"309",1951,3.90882052090215,0.0719269202989921,"BRBO"
"310",1952,3.90925089657775,0.0691037470819738,"BRBO"
"311",1953,3.90988354187452,0.0688339280637935,"BRBO"
"312",1954,3.91098614550919,0.0669591114226593,"BRBO"
"313",1955,3.91160331661319,0.0675920339270295,"BRBO"
"314",1956,3.91206809511933,0.0664422182509607,"BRBO"
"315",1957,3.91207958848769,0.0668091663346435,"BRBO"
"316",1958,3.91342269649534,0.0654154140895167,"BRBO"
"317",1959,3.91446886465387,0.0646878588901001,"BRBO"
"318",1960,3.91566684743175,0.0644243158115057,"BRBO"
"319",1961,3.91637311671763,0.0653548769817283,"BRBO"
"320",1962,3.91587975767176,0.0678611791454489,"BRBO"
"321",1963,3.9152207263081,0.0686706267883985,"BRBO"
"322",1964,3.91785835415044,0.0695474738008772,"BRBO"
"323",1965,3.91667716962031,0.0710737412453946,"BRBO"
"324",1966,3.91815286917142,0.0720803469197193,"BRBO"
"325",1967,3.91974305331325,0.0750382995639498,"BRBO"
"326",1968,3.92006915690792,0.0759489950992362,"BRBO"
"327",1969,3.92151096445093,0.0779888913038804,"BRBO"
"328",1970,3.9228371999063,0.0815067869473638,"BRBO"
"329",1971,3.92413317960269,0.0841280303138809,"BRBO"
"330",1972,3.92675772301751,0.0865213531196991,"BRBO"
"331",1973,3.92790178452807,0.0904878259838471,"BRBO"
"332",1974,3.93044509226053,0.0910717205740714,"BRBO"
"333",1975,3.93359358114236,0.0912224659764451,"BRBO"
"334",1976,3.93620127022993,0.0936680305564459,"BRBO"
"335",1977,3.93908678172637,0.0940718335016681,"BRBO"
"336",1978,3.94176209920943,0.0957321818628625,"BRBO"
"337",1979,3.94508105895754,0.0962989020740346,"BRBO"
"338",1980,3.94810708495054,0.0963678481050501,"BRBO"
"339",1981,3.95020719639978,0.0968711421081827,"BRBO"
"340",1982,3.95086271825669,0.0978269374688709,"BRBO"
"341",1983,3.95293152477347,0.0982448709243746,"BRBO"
"342",1984,3.95486498029268,0.0978072270797385,"BRBO"
"343",1985,3.95570496880175,0.096938716740337,"BRBO"
"344",1986,3.95670261112507,0.0960847719866482,"BRBO"
"345",1987,3.95672797483751,0.0953382846981987,"BRBO"
"346",1988,3.95676291623777,0.0952662913258768,"BRBO"
"347",1989,3.95502624697176,0.0944185122818739,"BRBO"
"348",1990,3.95258130679178,0.0924147229032179,"BRBO"
"349",1991,3.95066989771641,0.091099792123055,"BRBO"
"350",1992,3.94881414897221,0.0889940832591876,"BRBO"
"351",1993,3.94745577798951,0.0871398541528796,"BRBO"
"352",1994,3.94505854209469,0.0860782648014844,"BRBO"
"353",1995,3.94308073766855,0.0824479315088285,"BRBO"
"354",1996,3.94015187935277,0.0823669433601353,"BRBO"
"355",1997,3.93800349841273,0.0788039409970596,"BRBO"
"356",1998,3.93620146528041,0.0761122220336441,"BRBO"
"357",1999,3.93390358309465,0.0734017510326348,"BRBO"
"358",2000,3.93087776394858,0.0712347424264506,"BRBO"
"359",2001,3.92615467969076,0.0700351374708199,"BRBO"
"360",2002,3.92189817627663,0.0695072204639651,"BRBO"
"361",2003,3.9178822198413,0.0671666839754823,"BRBO"
"362",2004,3.91324941384716,0.0649062767073465,"BRBO"
"363",2005,3.90821297341316,0.0635718876153919,"BRBO"
"364",2006,3.90245067239544,0.0616932110027921,"BRBO"
"365",2007,3.89630227727048,0.0611543328373743,"BRBO"
"366",2008,3.89003577772206,0.0590171715686267,"BRBO"
"367",2009,3.88388549309037,0.0569737719347763,"BRBO"
"368",2010,3.87723529497999,0.0569297143029437,"BRBO"
"369",2011,3.86939936745971,0.0568677042464678,"BRBO"
"370",2012,3.8625401031891,0.0580392242894274,"BRBO"
"371",2013,3.85470078859705,0.0603725006122247,"BRBO"
"372",2014,3.84644967444865,0.0631232035761697,"BRBO"
"373",1891,3.73730591051476,0.134296253449466,"BRNO"
"374",1892,3.73217050523177,0.132330051102595,"BRNO"
"375",1893,3.72552499977471,0.130823853201567,"BRNO"
"376",1894,3.72189700991119,0.125122091425711,"BRNO"
"377",1895,3.71644875850768,0.121397053396049,"BRNO"
"378",1896,3.71313538060028,0.117241036157617,"BRNO"
"379",1897,3.70884418185205,0.113235940081061,"BRNO"
"380",1898,3.70431721543529,0.111577018717531,"BRNO"
"381",1899,3.70083374644816,0.108316285209181,"BRNO"
"382",1900,3.69626503192095,0.108291974859769,"BRNO"
"383",1901,3.69200504869362,0.106875882771429,"BRNO"
"384",1902,3.68692048352077,0.105529119834686,"BRNO"
"385",1903,3.68282375100458,0.104240177088625,"BRNO"
"386",1904,3.6793238318381,0.102713914703782,"BRNO"
"387",1905,3.67487464011975,0.101910719434225,"BRNO"
"388",1906,3.67186256894316,0.101491027936867,"BRNO"
